Age,男,女
0-4岁,63,56.4
5-9岁,67.8,60.7
10-14岁,73.3,66.3
15-19岁,80.8,76
20-24岁,105.9,102.7
25-29岁,137,131.7
30-34岁,144.4,135
35-39岁,155.1,146.9
40-44岁,188.9,175
45-49岁,189.5,179.3
50-54岁,172.3,165.5
55-59岁,140.9,140.9
60-64岁,131.6,148.6
65-69岁,83.5,104.2
70-74岁,71.9,86.7
75-79岁,45.3,51.2
80-84岁,23.1,25.8
85-89岁,8,9.9
90岁及以上,2.5,3.7
